[2314, 883]
[2313, 884]
[2312, 884]
[2311, 885]
[2310, 885]
[2308, 887]
[2307, 887]
[2306, 888]
[2305, 888]
[2303, 890]
[2301, 890]
[2299, 892]
[2298, 892]
[2296, 894]
[2294, 894]
[2292, 896]
[2290, 896]
[2290, 897]
[2289, 898]
[2288, 898]
[2287, 899]
[2286, 899]
[2285, 900]
[2284, 900]
[2282, 902]
[2281, 902]
[2280, 903]
[2279, 903]
[2277, 905]
[2275, 905]
[2274, 906]
[2272, 906]
[2271, 907]
[2270, 907]
[2269, 908]
[2268, 908]
[2267, 909]
[2266, 909]
[2263, 912]
[2262, 912]
[2261, 913]
[2260, 913]
[2259, 914]
[2258, 914]
[2256, 916]
[2255, 916]
[2254, 917]
[2253, 917]
[2252, 918]
[2251, 918]
[2249, 920]
[2248, 920]
[2247, 921]
[2246, 921]
[2244, 923]
[2243, 923]
[2242, 924]
[2241, 924]
[2239, 926]
[2238, 926]
[2236, 928]
[2234, 928]
[2234, 931]
[2233, 932]
[2229, 932]
[2227, 934]
[2227, 942]
[2226, 943]
[2226, 961]
[2228, 963]
[2229, 963]
[2230, 964]
[2240, 964]
[2241, 965]
[2241, 970]
[2242, 970]
[2243, 971]
[2243, 972]
[2244, 972]
[2245, 973]
[2245, 974]
[2246, 975]
[2247, 975]
[2249, 977]
[2249, 979]
[2250, 980]
[2250, 982]
[2251, 983]
[2251, 985]
[2252, 985]
[2253, 986]
[2253, 1007]
[2254, 1007]
[2255, 1008]
[2259, 1008]
[2260, 1009]
[2261, 1009]
[2264, 1012]
[2265, 1012]
[2269, 1016]
[2269, 1017]
[2270, 1018]
[2271, 1018]
[2272, 1019]
[2272, 1021]
[2273, 1021]
[2274, 1022]
[2274, 1023]
[2275, 1024]
[2275, 1030]
[2276, 1031]
[2276, 1048]
[2278, 1048]
[2280, 1050]
[2287, 1050]
[2288, 1051]
[2288, 1055]
[2290, 1055]
[2291, 1056]
[2291, 1058]
[2292, 1058]
[2293, 1059]
[2293, 1060]
[2294, 1060]
[2295, 1061]
[2295, 1062]
[2297, 1064]
[2297, 1065]
[2298, 1066]
[2298, 1067]
[2299, 1068]
[2299, 1089]
[2301, 1091]
[2301, 1092]
[2302, 1092]
[2304, 1094]
[2304, 1095]
[2311, 1095]
[2312, 1096]
[2312, 1098]
[2315, 1098]
[2317, 1100]
[2317, 1101]
[2318, 1102]
[2318, 1103]
[2319, 1103]
[2320, 1104]
[2320, 1106]
[2322, 1108]
[2322, 1110]
[2323, 1111]
[2323, 1113]
[2324, 1113]
[2325, 1114]
[2325, 1135]
[2326, 1135]
[2327, 1136]
[2335, 1136]
[2336, 1137]
[2336, 1140]
[2338, 1140]
[2341, 1143]
[2341, 1144]
[2344, 1147]
[2344, 1148]
[2346, 1150]
[2346, 1153]
[2347, 1154]
[2347, 1155]
[2349, 1157]
[2349, 1158]
[2350, 1159]
[2350, 1177]
[2351, 1177]
[2352, 1178]
[2352, 1179]
[2353, 1180]
[2358, 1180]
[2359, 1181]
[2359, 1182]
[2361, 1182]
[2362, 1183]
[2363, 1183]
[2364, 1184]
[2364, 1186]
[2365, 1187]
[2366, 1187]
[2368, 1189]
[2368, 1191]
[2370, 1193]
[2370, 1194]
[2371, 1195]
[2371, 1199]
[2372, 1199]
[2373, 1200]
[2373, 1218]
[2374, 1219]
[2374, 1220]
[2375, 1220]
[2377, 1222]
[2381, 1222]
[2382, 1223]
