[2867, 1007]
[2865, 1009]
[2864, 1009]
[2864, 1010]
[2863, 1011]
[2862, 1011]
[2862, 1013]
[2861, 1014]
[2859, 1014]
[2858, 1015]
[2841, 1015]
[2840, 1014]
[2840, 1013]
[2839, 1012]
[2839, 1008]
[2815, 1008]
[2814, 1009]
[2808, 1009]
[2807, 1010]
[2807, 1011]
[2806, 1012]
[2806, 1013]
[2805, 1014]
[2805, 1015]
[2804, 1016]
[2802, 1016]
[2801, 1017]
[2800, 1017]
[2800, 1018]
[2799, 1019]
[2797, 1019]
[2796, 1020]
[2796, 1021]
[2795, 1022]
[2795, 1023]
[2794, 1024]
[2794, 1028]
[2793, 1029]
[2793, 1056]
[2794, 1057]
[2794, 1119]
[2793, 1120]
[2793, 1144]
[2794, 1145]
[2794, 1151]
[2795, 1151]
[2796, 1152]
[2799, 1152]
[2800, 1153]
[2805, 1153]
[2806, 1154]
[2806, 1156]
[2836, 1156]
[2837, 1157]
[2881, 1157]
[2882, 1158]
[2900, 1158]
[2901, 1159]
[2902, 1159]
[2904, 1161]
[2904, 1163]
[2905, 1164]
[2905, 1182]
[2906, 1183]
[2906, 1199]
[2907, 1200]
[2907, 1229]
[2908, 1230]
[2908, 1248]
[2909, 1249]
[2909, 1266]
[2910, 1267]
[2910, 1287]
[2911, 1288]
[2911, 1289]
[2912, 1290]
[2915, 1290]
[2916, 1291]
[2920, 1291]
[2921, 1292]
[2936, 1292]
[2937, 1293]
[2937, 1294]
[2957, 1294]
[2958, 1293]
[2974, 1293]
[2975, 1292]
[2976, 1292]
[2977, 1293]
[2991, 1293]
[2992, 1294]
[3002, 1294]
[3003, 1295]
[3022, 1295]
[3022, 1294]
[3023, 1293]
[3036, 1293]
[3037, 1294]
[3052, 1294]
[3053, 1295]
[3077, 1295]
[3078, 1294]
[3139, 1294]
[3140, 1293]
[3146, 1293]
[3148, 1291]
[3151, 1291]
[3151, 1264]
[3150, 1263]
[3150, 1229]
[3149, 1228]
[3149, 1182]
[3148, 1181]
[3148, 1159]
[3147, 1159]
[3146, 1158]
[3146, 1157]
[3145, 1157]
[3144, 1156]
[3133, 1156]
[3132, 1155]
[3131, 1155]
[3130, 1154]
[3130, 1150]
[3129, 1149]
[3129, 1148]
[3126, 1148]
[3125, 1147]
[3125, 1146]
[3124, 1146]
[3123, 1145]
[3104, 1145]
[3103, 1146]
[3102, 1146]
[3102, 1147]
[3101, 1148]
[3095, 1148]
[3093, 1150]
[3091, 1150]
[3089, 1152]
[3074, 1152]
[3073, 1151]
[3073, 1149]
[3072, 1148]
[3070, 1148]
[3069, 1147]
[3069, 1145]
[3066, 1145]
[3065, 1144]
[3053, 1144]
[3052, 1143]
[3038, 1143]
[3037, 1142]
[3036, 1142]
[3034, 1140]
[3034, 1139]
[3033, 1139]
[3032, 1138]
[3032, 1132]
[3031, 1131]
[3031, 1087]
[3030, 1086]
[3030, 1036]
[3029, 1035]
[3029, 1020]
[3028, 1020]
[3027, 1019]
[3027, 1018]
[3015, 1018]
[3014, 1017]
[3013, 1017]
[3012, 1016]
[3012, 1011]
[3010, 1009]
[3010, 1008]
[2983, 1008]
[2982, 1009]
[2981, 1009]
[2981, 1010]
[2980, 1011]
[2978, 1011]
[2977, 1012]
[2977, 1013]
[2975, 1015]
[2974, 1015]
[2973, 1016]
[2957, 1016]
[2955, 1014]
[2955, 1011]
[2954, 1010]
[2951, 1010]
[2950, 1009]
[2950, 1008]
[2925, 1008]
[2925, 1009]
[2924, 1010]
[2923, 1010]
[2921, 1012]
[2920, 1012]
[2919, 1013]
[2919, 1014]
[2918, 1015]
[2912, 1015]
[2911, 1016]
[2906, 1016]
[2905, 1015]
[2899, 1015]
[2897, 1013]
[2897, 1011]
[2896, 1010]
[2896, 1008]
[2890, 1008]
[2889, 1007]
