[1048, 971]
[1047, 972]
[1046, 972]
[1045, 973]
[1044, 973]
[1043, 974]
[1042, 974]
[1042, 976]
[1040, 978]
[1040, 979]
[1038, 981]
[1037, 981]
[1036, 982]
[1033, 982]
[1032, 983]
[1021, 983]
[1020, 984]
[1018, 982]
[1018, 981]
[1017, 981]
[1016, 980]
[1014, 980]
[1012, 978]
[991, 978]
[990, 979]
[988, 979]
[987, 980]
[987, 982]
[986, 983]
[985, 983]
[985, 987]
[984, 988]
[981, 988]
[980, 989]
[973, 989]
[972, 990]
[970, 990]
[970, 1018]
[971, 1019]
[971, 1026]
[972, 1027]
[972, 1039]
[973, 1040]
[973, 1048]
[974, 1049]
[974, 1059]
[975, 1060]
[975, 1066]
[976, 1067]
[976, 1077]
[977, 1078]
[977, 1087]
[978, 1088]
[978, 1099]
[979, 1100]
[979, 1109]
[980, 1110]
[980, 1117]
[981, 1118]
[981, 1126]
[982, 1127]
[982, 1138]
[983, 1139]
[983, 1149]
[984, 1150]
[984, 1159]
[985, 1160]
[985, 1167]
[986, 1168]
[986, 1178]
[987, 1179]
[987, 1184]
[988, 1185]
[988, 1194]
[989, 1195]
[989, 1201]
[990, 1202]
[990, 1215]
[991, 1216]
[991, 1223]
[992, 1224]
[992, 1232]
[993, 1233]
[993, 1242]
[994, 1243]
[994, 1248]
[995, 1249]
[995, 1251]
[1046, 1251]
[1047, 1250]
[1055, 1250]
[1056, 1249]
[1062, 1249]
[1063, 1248]
[1067, 1248]
[1067, 1246]
[1068, 1245]
[1078, 1245]
[1079, 1244]
[1090, 1244]
[1091, 1243]
[1093, 1243]
[1094, 1242]
[1113, 1242]
[1114, 1241]
[1119, 1241]
[1120, 1240]
[1123, 1240]
[1124, 1239]
[1128, 1239]
[1129, 1238]
[1142, 1238]
[1142, 1237]
[1143, 1236]
[1154, 1236]
[1155, 1235]
[1169, 1235]
[1170, 1234]
[1175, 1234]
[1176, 1233]
[1178, 1233]
[1178, 1232]
[1179, 1231]
[1186, 1231]
[1187, 1230]
[1197, 1230]
[1197, 1229]
[1198, 1228]
[1211, 1228]
[1211, 1227]
[1212, 1226]
[1231, 1226]
[1232, 1225]
[1235, 1225]
[1236, 1224]
[1238, 1224]
[1240, 1222]
[1261, 1222]
[1262, 1221]
[1264, 1221]
[1264, 1220]
[1265, 1219]
[1292, 1219]
[1292, 1217]
[1293, 1216]
[1296, 1216]
[1297, 1215]
[1308, 1215]
[1309, 1214]
[1314, 1214]
[1315, 1213]
[1321, 1213]
[1321, 1212]
[1322, 1211]
[1327, 1211]
[1329, 1209]
[1333, 1209]
[1334, 1208]
[1335, 1208]
[1335, 1184]
[1334, 1183]
[1334, 1182]
[1333, 1181]
[1333, 1174]
[1332, 1173]
[1332, 1160]
[1331, 1159]
[1331, 1152]
[1330, 1151]
[1330, 1150]
[1329, 1149]
[1329, 1145]
[1328, 1144]
[1328, 1143]
[1327, 1142]
[1327, 1118]
[1326, 1118]
[1325, 1117]
[1325, 1096]
[1324, 1095]
[1324, 1094]
[1323, 1093]
[1323, 1092]
[1322, 1091]
[1322, 1088]
[1321, 1088]
[1320, 1087]
[1320, 1085]
[1316, 1081]
[1316, 1080]
[1314, 1078]
[1312, 1078]
[1311, 1077]
[1310, 1077]
[1309, 1076]
[1309, 1074]
[1307, 1074]
[1306, 1073]
[1306, 1072]
[1283, 1072]
[1283, 1074]
[1282, 1075]
[1279, 1075]
[1277, 1077]
[1277, 1078]
[1276, 1079]
[1276, 1080]
[1274, 1082]
[1272, 1082]
[1271, 1083]
[1267, 1083]
[1266, 1084]
[1260, 1084]
[1259, 1085]
[1258, 1085]
[1257, 1084]
[1256, 1084]
[1253, 1081]
[1250, 1081]
[1249, 1080]
[1228, 1080]
[1227, 1081]
[1224, 1081]
[1223, 1082]
[1223, 1083]
[1222, 1084]
[1221, 1084]
[1221, 1087]
[1220, 1088]
[1219, 1088]
[1219, 1089]
[1218, 1090]
[1213, 1090]
[1212, 1091]
[1202, 1091]
[1201, 1090]
[1200, 1090]
[1199, 1089]
[1197, 1089]
[1196, 1088]
[1169, 1088]
[1169, 1091]
[1168, 1092]
[1164, 1092]
[1164, 1095]
[1162, 1097]
[1152, 1097]
[1151, 1098]
[1142, 1098]
[1141, 1097]
[1141, 1096]
[1135, 1096]
[1134, 1095]
[1134, 1093]
[1114, 1093]
[1113, 1094]
[1113, 1097]
[1112, 1098]
[1111, 1098]
[1111, 1099]
[1110, 1100]
[1106, 1100]
[1106, 1102]
[1104, 1104]
[1103, 1103]
[1098, 1103]
[1097, 1102]
[1097, 1101]
[1096, 1101]
[1095, 1100]
[1095, 1099]
[1094, 1098]
[1094, 1092]
[1093, 1091]
[1093, 1046]
[1091, 1044]
[1092, 1043]
[1092, 1019]
[1091, 1018]
[1091, 1016]
[1090, 1015]
[1090, 1004]
[1089, 1003]
[1089, 988]
[1087, 988]
[1086, 987]
[1086, 986]
[1085, 985]
[1085, 983]
[1084, 982]
[1083, 982]
[1082, 981]
[1081, 981]
[1077, 977]
[1076, 977]
[1075, 976]
[1074, 976]
[1073, 975]
[1073, 973]
[1072, 973]
[1071, 972]
[1069, 972]
[1068, 971]
