[2564, 844]
[2563, 844]
[2562, 843]
[2562, 839]
[2561, 838]
[2561, 837]
[2560, 837]
[2558, 835]
[2557, 835]
[2556, 834]
[2555, 834]
[2553, 832]
[2532, 832]
[2532, 833]
[2531, 834]
[2529, 834]
[2528, 833]
[2525, 833]
[2524, 832]
[2521, 832]
[2520, 831]
[2519, 831]
[2518, 830]
[2516, 830]
[2515, 829]
[2513, 829]
[2512, 828]
[2512, 822]
[2510, 820]
[2509, 820]
[2508, 819]
[2507, 819]
[2506, 818]
[2505, 818]
[2504, 817]
[2503, 817]
[2502, 816]
[2483, 816]
[2483, 817]
[2482, 818]
[2479, 818]
[2478, 817]
[2475, 817]
[2474, 816]
[2471, 816]
[2470, 815]
[2468, 815]
[2467, 814]
[2466, 814]
[2465, 813]
[2464, 813]
[2463, 812]
[2463, 807]
[2462, 807]
[2461, 806]
[2461, 805]
[2459, 805]
[2458, 804]
[2458, 803]
[2457, 803]
[2456, 802]
